iter	Passed	Remaining
0	231	230822
1	270	134917
2	320	106454
3	390	97118
4	448	89296
5	499	82709
6	554	78660
77	666	826568	665	73232
9	719	71202
10	795	71522
11	853	70251
12	916	69601
13	969	68297
14	1032	67775
15	1100	67659
16	1153	66676
17	1193	65117
18	1256	64898
19	1321	64749
20	1373	64026
21	1428	63504
22	1470	62454
23	1530	62243
24	1571	61272
25	1619	60664
26	1669	60179
27	1724	59866
28	1759	58915
29	1799	58198
30	1851	57873
31	1899	57466
32	1943	56948
33	1992	56620
34	2050	56532
35	2103	56334
36	2153	56050
37	2200	55717
38	2240	55217
39	2298	55155
40	2340	54737
41	2397	54690
42	2447	54468
43	2500	54321
44	2555	54232
45	2609	54120
46	2662	53980
47	2714	53831
48	2772	53801
49	2841	53990
50	2896	53889
51	2964	54037
52	3020	53976
53	3071	53805
54	3115	53530
55	3163	53319
56	3235	53531
57	3284	53342
58	3332	53157
59	3378	52924
60	3426	52749
61	3495	52882
62	3573	53153
63	3598	52622
64	3611	519565	65	3733	52866	66	3792	52867	67	3855	52868668	3921	52969669	3983	52970770	4024	52671771	4079	5258372	4078	51793
73	4131	51699
74	4181	51565
775	4288	52143776	4346	52100777	4402	52033778	4449	51867779	4479	51511880	4545	51566881	4620	51721882	4652	51404883	4718	51453884	4770	51349885	4860	51660886	4929	51728887	5006	51887888	5155	52772889	5255	53137990	5341	53352991	5425	53543992	5552	54153
93	5612	54095
94	5678	54093
95	5747	54126
96	5802	54016
97	5844	53795
98	5931	53985
99	6004	54042
100	6077	54098
101	6135	54012
102	6204	54037
103	6244	53798
104	6319	53862
105	6370	53726
106	6422	53604
107	6486	53569
108	6536	53428
109	6583	53267
110	6642	53199
111	6700	53124
112	6759	53057
113	6819	52997
114	6909	53174
115	6985	53235
116	7055	53245
117	7091	53007
118	7158	52997
119	7222	52967
120	7268	52805
121	7324	52712
122	7381	52627
123	7455	52666
124	7510	52573
125	7560	52444
126	7599	52239
127	7650	52120
128	7690	51923
129	7748	51852
130	7808	51796
131	7847	51602
132	7917	51612
133	7968	51495
134	8009	51321
135	8071	51276
136	8123	51172
137	8171	51041
138	8221	50928
139	8256	507201140	8301	50573
141	8351	504142142	8421	504711143	8474	503731144	8472	499511145	8529	498891146	8628	500671147	8693	500451148	8755	50005
149	8804	49891
150	8846	49736
151	8861	49439
152	8920	49380
153	8976	49314
154	9021	491155155	9062	490156156	9140	49076
157	9193	48991
158	9260	489159159	9351	490160160	9417	490161161	9500	491162162	9610	493163163	9696	494164164	9762	494165165	9825	49364
166	9880	49283
167	9918	491168168	9975	49049
169	10041	49026
170	10085	48892
171	10138	48807
172	10192	48722
173	10252	48670
174	10305	48583
175	10363	48520
176	10462	48647
177	10587	48892
178	10633	48772
179	10694	48718
180	10770	48733
181	10817	48619
182	10882	48582
183	10937	48504
184	10982	48380
185	11039	48311
186	11132	48399
187	11217	48448
188	11283	48417
189	11324	48277
190	11368	48152
191	11409	48016
192	11488	48037
193	11525	47886
194	11587	47834
195	11628	47699
196	11678	47603
197	11718	47467
198	11786	47443
199	11849	47397
200	11901	47308
201	11957	47236
202	12019	47190
203	12064	47074
204	12114	46979
205	12128	46748
206	12207	12187	207	12208	12229	208	12209	12292	209	12210	12406	46392
211	12486	46413
212	12548	46365
213	12632	46398
214	12755	46573
215	12805	46478
216	12850	46369
217	12920	46347
218	12966	46239
219	13033	46209
220	13097	46166
221	13134	46028
222	13195	45978
223	13252	45910
224	13314	45862
225	13379	45820
226	13449	45797
227	13510	45746
228	13565	45672
229	13620	45598
230	13675	45527
231	13730	45453
232	13793	45405
233	13829	45270
234	13892	45224
235	13958	45188
236	14006	45093
237	14061	45021
238	14119	44957
239	14191	44940
240	14271	44945
241	14334	44899
242	14385	44815
243	14440	44740
244	14492	44661
245	14550	44598
246	14617	44563
247	14679	44511
248	14726	44415
249	14794	44383
250	14834	44267
251	14891	44202
252	14950	44143
253	15018	44108
254	15073	44037
255	15135	43988
256	15183	43897
257	15241	43834
258	15300	43774
259	15378	43768
260	15428	43684
261	15493	43641
262	15539	43545
263	15582	43442
264	15638	43373
265	15680	43267
266	15726	43175
267	15773	43084
268	15864	43110
269	16055	43410
270	16119	43362
271	16196	43349
272	16238	43243
273	16297	43181
274	16354	43115
275	16393	43004
276	16463	42971
277	16540	42957
278	16617	42942
279	16706	42959
280	16764	42896
281	16828	42846
282	16885	42781
283	16941	42712
284	16996	42641
285	17078	42637
286	17157	42625
287	17253	42654
288	17279	42510
289	17289	42330
290	17322	42204
291	17395	42179
292	17453	42114
293	17510	42049
294	17562	41970
295	17597	41853
296	17646	41768
297	17684	41659
298	17737	41585
299	17858	41669
300	17929	41637
301	18012	41632
302	18084	41601
303	18142	41537
304	18229	41540
305	18291	41484
306	18339	41397
307	18386	41310
308	18435	41225
309	18493	41163
310	18549	41094
311	18591	40995
312	18653	40942
313	18723	40906
314	18763	40803
315	18819	40736
316	18867	40651
317	18917	40572
318	18986	40531
319	19037	40454
320	19117	40438
321	19173	40371
322	19229	40304
323	19292	40253
324	19353	40195
325	19419	40149
326	19484	40100
327	19542	40038
328	19594	39963
329	19646	39888
330	19692	39800
331	19748	39734
332	19838	39736
333	19908	39698
334	19975	39652
335	20031	39586
336	20074	39493
337	20147	39460
338	20242	39469
339	20327	39459
340	20414	39452
